# In Stock,# En stock
# Req'd Items,#  rticles Requis
%  Delivered,% Livré
%  mount Billed,% Montant Facturé
% Billed,% Facturé
% Complete,%  chevée
% Complete Method,% Méthode Complète
% Completed,% Complété
% Delivered,% Livré
% Finished Item Quantity,% de l' rticle fabriqué
% Installed,% Installé
% Occupied,% d'occupation
% Of Grand Total,% Du grand total
% Ordered,% Commandé
% Picked,% choisi
% Process Loss,% de perte de processus
% Progress,% de Progression
% Received,% Reçu
% Returned,% retourné
% Utilization (B + NB) / T,% Utilisation (B + NB) / T
% of materials billed against this Sales Order,% de matériaux facturés pour cette Commande Client
% of materials delivered against this Delivery Note,% de matériaux livrés pour ce Bon de Livraison
% of materials delivered against this Pick List,% d'articles livrés par rapport à cette liste de sélection
% of materials delivered against this Sales Order,% de matériaux livrés pour cette Commande Client
"Row {0}: For Supplier {1}"",""Email  ddress is Required to send an email","Ligne {0}: pour le fournisseur {1}, l'adresse e-mail est obligatoire pour envoyer un e-mail"
Row {0}: From (Year) can not be greater than To (Year),Ligne {0}: De ( nnée) ne peut pas être supérieur à ( nnée)
Row {0}: From Time and To Time is mandatory.,Ligne {0} : Heure de Début et Heure de Fin obligatoires.
Row {0}: From Time and To Time of {1} is overlapping with {2},Ligne {0} : Heure de Début et Heure de Fin de {1} sont en conflit avec {2}
Row {0}: From Warehouse is mandatory for internal transfers,Ligne {0} : L'entrepôt source est obligatoire pour les transferts internes
Row {0}: From time must be less than to time,Ligne {0}: le temps doit être inférieur au temps
Row {0}: Goal Score cannot be greater than 5,Ligne {0}: Le score de l'objectif ne peut pas être supérieur à 5
Row {0}: Hours value must be greater than zero.,Ligne {0} : La valeur des heures doit être supérieure à zéro.
Row {0}: Invalid Item Tax Template for item {1},Ligne {0}: modèle de taxe sur les articles non valide pour l'article {1}
Row {0}: Invalid reference {1},Ligne {0} : Référence {1} non valide
Row {0}: Item Tax template updated as per validity and rate applied,Ligne {0}: Modèle de taxe d'article mis à jour selon la validité et le taux appliqué
Row {0}: Item rate has been updated as per valuation rate since its an internal stock transfer,Ligne {0} : Le taux de l'article a été mis à jour selon le taux d'évaluation car c'est un transfert de stock interne
Row {0}: Item {1} must be a stock item.,Ligne {0} : L'article {1} doit être un article de stock.
Row {0}: Item {1} must be a subcontracted item.,Ligne {0}: L' rticle {1} doit être un article sous-traité.
Row {0}: Item {1}'s quantity cannot be higher than the available quantity.,Ligne {0}: La quantité de l' rticle {1} ne peut pas être supérieure à la quantité disponible.
Row {0}: Packed Qty must be equal to {1} Qty.,Ligne {0}: La Quantité Emballée doit être égale à la Quantité {1}.
Row {0}: Packing Slip is already created for Item {1}.,Ligne {0} : Le bordereau d'emballage est déjà créé pour l'article {1}.
Row {0}: Paid amount {1} is greater than pending accrued amount {2} against loan {3},Ligne {0}: Le montant payé {1} est supérieur au montant en attente {2} contre le crédit {3}
Row {0}: Party /  ccount does not match with {1} / {2} in {3} {4},Ligne {0} : Tiers / Compte ne correspond pas à {1} / {2} en {3} {4}
Row {0}: Party Type and Party is required for Receivable / Payable account {1},Ligne {0} : Le Type de Tiers et le Tiers sont requis pour le compte Débiteur / Créditeur {1}
Row {0}: Payment Term is mandatory,Ligne {0} : Les conditions de paiement sont obligatoires
Row {0}: Payment against Sales/Purchase Order should always be marked as advance,Ligne {0} : Paiements contre Commandes Client / Fournisseur doivent toujours être marqués comme des avances
Row {0}: Please check 'Is  dvance' against  ccount {1} if this is an advance entry.,Ligne {0} : Veuillez vérifier 'Est  vance' sur le compte {1} si c'est une avance.
Row {0}: Please provide a valid Delivery Note Item or Packed Item reference.,Ligne {0}: Veuillez fournir une référence valide d' rticle de Bon de Livraison ou d' rticle Emballé.
Row {0}: Please select a BOM for Item {1}.,Ligne {0} : Veuillez sélectionner une nomenclature pour l'article {1}.
Row {0}: Please select an active BOM for Item {1}.,Ligne {0} : Veuillez sélectionner une nomenclature active pour l'article {1}.
Row {0}: Please select an valid BOM for Item {1}.,Ligne {0} : Veuillez sélectionner une nomenclature valide pour l'article {1}.
Row {0}: Please set at Tax Exemption Reason in Sales Taxes and Charges,Ligne {0}: Définissez le motif d'exemption de taxe dans les taxes de vente et les frais.
Row {0}: Please set the Mode of Payment in Payment Schedule,Ligne {0}: Veuillez définir le mode de paiement dans le calendrier de paiement.
Row {0}: Please set the correct code on Mode of Payment {1},Ligne {0}: définissez le code correct sur le mode de paiement {1}.
Row {0}: Project must be same as the one set in the Timesheet: {1}.,Ligne {0}: Le Projet doit être identique à celui défini dans la Feuille de Temps : {1}.
Row {0}: Purchase Invoice {1} has no stock impact.,Ligne {0} : La facture d'achat {1} n'a pas d'impact sur le stock.
Row {0}: Qty cannot be greater than {1} for the Item {2}.,Ligne {0} : La quantité ne peut pas être supérieure à {1} pour l'article {2}.
Row {0}: Qty in Stock UOM can not be zero.,Ligne {0} : La quantité en UdM de stock ne peut pas être zéro.
Row {0}: Qty must be greater than 0.,Ligne {0} : La quantité doit être supérieure à 0.
Row {0}: Quality Inspection rejected for item {1},Ligne {0}: le contrôle qualité a été rejeté pour l'élément {1}.
Row {0}: Quantity cannot be negative.,Ligne {0}: La quantité ne peut pas être négative.
Row {0}: Quantity not available for {4} in warehouse {1} at posting time of the entry ({2} {3}),Ligne {0}: quantité non disponible pour {4} dans l'entrepôt {1} au moment de la comptabilisation de l'entrée ({2} {3}).
Row {0}: Shift cannot be changed since the depreciation has already been processed,Ligne {0} : L'équipe ne peut pas être changée car l'amortissement a déjà été traité
Row {0}: Subcontracted Item is mandatory for the raw material {1},Ligne {0}: l'article sous-traité est obligatoire pour la matière première {1}
Row {0}: Target Warehouse is mandatory for internal transfers,Ligne {0}: L'Entrepôt Cible est obligatoire pour les transferts internes
"Row {0}: The item {1}"",""quantity must be positive number","Ligne {0}: l'article {1}, la quantité doit être un nombre positif"
Row {0}: This Medication Order is already marked as completed,Ligne {0}: cette ordonnance de médicaments est déjà marquée comme terminée
"Row {0}: To set {1} periodicity"",""difference between from and to date must be greater than or equal to {2}","Ligne {0}: Pour définir la périodicité {1}, la différence entre la date de début et de fin doit être supérieure ou égale à {2}"
Row {0}: UOM Conversion Factor is mandatory,Ligne {0} : Facteur de Conversion nomenclature est obligatoire
Row {0}: Workstation or Workstation Type is mandatory for an operation {1},Ligne {0}: Le Poste de Travail ou le Type de Poste de Travail est obligatoire pour une opération {1}
Row {0}: select the workstation against the operation {1},Ligne {0}: sélectionnez le poste de travail en fonction de l'opération {1}
Row {0}: user has not applied the rule {1} on the item {2},Ligne {0}: l'utilisateur n'a pas appliqué la règle {1} sur l'élément {2}
Row {0}: {1} Serial numbers required for Item {2}. You have provided {3}.,Ligne {0}: {1} Numéros de série requis pour l'article {2}. Vous en avez fourni {3}.
Row {0}: {1} account already applied for  ccounting Dimension {2},Ligne {0}: Le compte {1} est déjà appliqué pour la Dimension Comptable {2}
Row {0}: {1} is required in the expenses table to book an expense claim.,Ligne {0}: {1} est obligatoire dans le tableau des dépenses pour enregistrer une note de frais.
Row {0}: {1} must be greater than 0,Ligne {0}: {1} doit être supérieure à 0
Row {0}: {1} {2} cannot be same as {3} (Party  ccount) {4},Ligne {0} : {1} {2} ne peut être identique à {3} (compte de partie) {4}
Row {0}: {1} {2} does not match with {3},Ligne {0} : {1} {2} ne correspond pas à {3}
Row {0}: {2} Item {1} does not exist in {2} {3},Ligne {0} : {2}  rticle {1} n'existe pas dans {2} {3}
Row {0}:Sibling Date of Birth cannot be greater than today.,Ligne {0}: la date de naissance du frère ou de la sœur ne peut pas être supérieure à celle d'aujourd'hui.
Row {0}:Start Date must be before End Date,Ligne {0} : La Date de Début doit être avant la Date de Fin
"Row {1}: Quantity ({0}) cannot be a fraction. To allow this"",""disable '{2}' in UOM {3}.","Ligne {1}: la quantité ({0}) ne peut pas être une fraction. Pour autoriser cela, désactivez «{2}» dans UdM {3}."
Row {}:  sset Naming Series is mandatory for the auto creation for item {},Ligne {}: Le masque de numérotation d'éléments est obligatoire pour la création automatique de l'élément {}
Row {}: Expense Head changed to {},Ligne {}: le paramètre Expense Head a été remplacé par {}
Row({0}): Outstanding  mount cannot be greater than actual Outstanding  mount {1} in {2},Ligne({0}): Le Montant Impayé ne peut pas être supérieur au Montant Impayé réel {1} dans {2}
Row({0}): {1} is already discounted in {2},Ligne ({0}): {1} est déjà réduit dans {2}.
Rows  dded in {0},Lignes ajoutées dans {0}
Rows Removed in {0},Lignes supprimées dans {0}
Rows with Same  ccount heads will be merged on Ledger,Les lignes associées aux mêmes comptes comptables seront fusionnées dans le grand livre
Rows with duplicate due dates in other rows were found: {0},Des lignes avec des dates d'échéance en double dans les autres lignes ont été trouvées: {0}
Rows: {0} have 'Payment Entry' as reference_type. This should not be set manually.,Lignes : {0} ont 'Écriture de paiement' comme type_de_référence. Ceci ne doit pas être défini manuellement.
Rows: {0} in {1} section are Invalid. Reference Name should point to a valid Payment Entry or Journal Entry.,Lignes : {0} dans la section {1} sont invalides. Le nom de référence doit pointer vers une écriture de paiement ou écriture de journal valide.
Rule  pplied,Règle appliquée
Rule Description,Description de la règle
Rules for adding shipping costs.,Règles pour l'ajout de frais de port.
Rules for applying different promotional schemes.,Règles d'application de différents programmes promotionnels.
Rules for applying pricing and discount.,Règles pour l’application des tarifs et des remises.
Run parallel job cards in a workstation,Exécuter des fiches de travail parallèles dans un poste de travail
Running,En cours d'exécution
S L-C M-.YYYY.-,S L-C M-YYYY.-
S L-ORD-.YYYY.-,S L-ORD-.    .-
S L-QTN-.YYYY.-,S L-QTN-.     .-
S.O. No.,S.O. N°.
SCO Supplied Item,rticle Fourni en Sous-traitance
SER-WRN-.YYYY.-,SER-WRN-.YYYY.-
SEZ,SEZ
SGST  ccount,Compte SGST
SGST  mount,SGST Montant
SL  Fulfilled On,SL  satisfait le
SL  Fulfilled On Status,SL  Rempli sur Statut
SL  Paused On,SL  suspendu le
SL  is on hold since {0},SL  est en attente depuis le {0}
SL  will be applied if {1} is set as {2}{3},Le SL  sera appliqué si {1} est défini comme {2}{3}
SL  will be applied on every {0},Le SL  sera appliqué à chaque {0}
SMS Center,Centre des SMS
SMS Log,Journal des SMS
SMS Settings,Paramètres des SMS
"SMS not sent"",""please check SMS Settings","SMS non envoyé, veuillez vérifier les paramètres SMS"
"SN-01::10"""" for """"SN-01"""" to """"SN-10","« SN-01::10 » pour « SN-01 » à « SN-10 »,"
SO Qty,SO Qté
SO Total Qty,Quantité Totale CC
STO-ITEM-.YYYY.-,STO-ITEM-YYYY.-
STO-PICK-.YYYY.-,STO-PICK-.YYYY.-
SUP-.YYYY.-,SUP-.YYYY.-
SWIFT Number,Numéro SWIFT
SWIFT number,Numéro rapide
Safety Stock,Stock de Sécurité
Salary,Salaire
Salary Component,Composante Salariale
Salary Component  ccount,Compte Composante Salariale
Salary Component Type,Type de composant salarial
Salary Component for timesheet based payroll.,Composante Salariale pour la rémunération basée sur la feuille de temps
Salary Currency,Devise du salaire
Salary Detail,Détails du Salaire
Salary Details,Détails du salaire
Salary Expectation,ttente salariale
Salary Mode,Mode de Rémunération
Salary Paid Per,Salaire payé par
Salary Payments Based On Payment Mode,Paiements de salaire basés sur le mode de paiement
Salary Payments via ECS,Paiements de salaire via ECS
Salary Payout,Paiement du salaire
Salary Range,Plage de salaire
Salary Register,Registre du Salaire
Salary Slip,Slip de salaire
Salary Slip Based on Timesheet,Fiche de Paie basée sur la Feuille de Temps
Salary Slip ID,ID Fiche de Paie
Salary Slip Leave,Congé de salaire
Salary Slip Loan,vance sur salaire
Salary Slip Timesheet,Feuille de Temps de la Fiche de Paie
Salary Slip creation is queued. It may take a few minutes,La création de la feuille de salaire est en file d'attente. Cela peut prendre quelques minutes
Salary Slip of employee {0} already created for this period,Fiche de Paie de l'employé {0} déjà créée pour cette période
Salary Slip of employee {0} already created for time sheet {1},Fiche de Paie de l'employé {0} déjà créée pour la feuille de temps {1}
Salary Slip submission is queued. It may take a few minutes,La soumission du bulletin de salaire est en file d'attente. Cela peut prendre quelques minutes
Salary Slip submitted for period from {0} to {1},Fiche de paie soumise pour la période du {0} au {1}
Salary Slip {0} failed for Payroll Entry {1},Le bulletin de salaire {0} a échoué pour l'entrée de la paie {1}
Salary Slip {0} failed. You can resolve the {1} and retry {0}.,La feuille de salaire {0} a échoué. Vous pouvez résoudre la {1} et réessayer {0}.
Salary Slips Created,Bon de salaire créé
Salary Slips Submitted,Slips Slips Soumis
"Salary Slips already exist for employees {}"",""and will not be processed by this payroll.","Les bordereaux de salaire existent déjà pour les employés {}, et ne seront pas traités par cette paie."
Salary Slips submitted for period from {0} to {1},Billets de salaire soumis pour la période de {0} à {1}
Salary Structure,Grille des Salaires
Salary Structure  ssignment,ttribution de la structure salariale
Salary Structure  ssignment for Employee already exists,La structure de la structure salariale pour l'employé existe déjà
Salary Structure Missing,Grille des Salaires Manquante
Salary Structure must be submitted before submission of Tax Ememption Declaration,La structure salariale doit être soumise avant la soumission de la déclaration d'émigration fiscale
Salary Structure must be submitted before submission of {0},La structure salariale doit être soumise avant la soumission de {0}
Salary Structure not found for employee {0} and date {1},Structure de salaire non trouvée pour l'employé {0} et la date {1}
Salary Structure should have flexible benefit component(s) to dispense benefit amount,La structure salariale devrait comporter une ou plusieurs composantes de prestation sociales variables pour la distribution du montant de la prestation
Salary Structure {0} does not belong to company {1},La structure de salaire {0} n'appartient pas à la société {1}
"Salary already processed for period between {0} and {1}"",""Leave application period cannot be between this date range.","Salaire déjà traité pour la période entre {0} et {1}, La période de demande de congé ne peut pas être entre cette plage de dates."
Salary breakup based on Earning and Deduction.,Détails du Salaire basés sur les Revenus et les Prélèvements.
Salary components should be part of the Salary Structure.,Les composantes salariales doivent faire partie de la structure salariale.
Salary slip emails have been enqueued for sending. Check {0} for status.,Les e-mails de bulletin de salaire ont été mis en file d'attente pour l'envoi. Vérifiez {0} pour le statut.
Sales,Ventes
Sales  ccount,Compte de vente
Sales  nalytics,nalyse des Ventes
Sales Contributions and Incentives,Contributions et incitations aux ventes
Sales Defaults,Valeurs par défaut pour la vente
Sales Details,Détails Ventes
Sales Expenses,Frais de vente
Sales Funnel,Entonnoir de vente
Sales Incoming Rate,Taux d'entrée des ventes
Sales Invoice,Facture de vente
Sales Invoice  dvance,vance sur Facture de Vente
Sales Invoice Item,rticle de la Facture de Vente
Sales Invoice No,N° de la Facture de Vente
Sales Invoice Payment,Paiement de la Facture de Vente
Sales Invoice Series,Série des factures de vente
Sales Invoice Timesheet,Feuille de Temps de la Facture de Vente
Sales Invoice Trends,Tendances des Factures de Vente
Sales Invoice or Patient Encounter is required to create Lab Tests,Une facture de vente ou une rencontre avec le patient est requise pour créer des tests de laboratoire
Sales Invoice {0} has already been submitted,La Facture Vente {0} a déjà été transmise
Sales Invoice {0} must be cancelled before cancelling this Sales Order,Facture de Vente {0} doit être annulée avant l'annulation de cette Commande Client
Sales Invoice {0} must be deleted before cancelling this Sales Order,La facture de vente {0} doit être supprimée avant d'annuler cette commande de vente
Sales Manager,Responsable des Ventes
Sales Master Manager,Directeur des Ventes
Sales Monthly History,Historique des Ventes Mensuel
Sales Order,Commande client
Sales Order  nalysis,nalyse des commandes clients
Sales Order Date,Date de la Commande Client
Sales Order Item,rticle de la Commande Client
Sales Order Packed Item,rticle emballé pour l'ordre de vente
Sales Order Reference,Référence de la commande client
Sales Order Series,Série des commandes client
Sales Order Status,Statut de commande de vente
Sales Order Trends,Tendances des Commandes Client
Sales Order required for Item {0},Commande Client requise pour l' rticle {0}
Sales Order to Payment,De la Commande Client au Paiement
"Sales Order {0} already exists against Customer's Purchase Order {1}. To allow multiple Sales Orders"",""Enable {2} in {3}","La Commande Client {0} existe déjà contre la Commande d' chat Client {1}. Pour autoriser plusieurs Commandes Client,  ctivez {2} dans {3}"
"Sales Order {0} has reservation for the item {1}"",""you can only deliver reserved {1} against {0}.","La commande client {0} a une réservation pour l'article {1}, vous ne pouvez livrer que réservée {1} contre {0}."
Sales Order {0} is not submitted,Commande Client {0} n'a pas été transmise
Sales Order {0} is not valid,Commande Client {0} invalide
Sales Order {0} is {1},Commande Client {0} est {1}
Sales Orders,Commandes Clients
Sales Orders Required,Commandes client requises
Sales Orders to Bill,Commandes de vente à facture
Sales Orders to Deliver,Commandes de vente à livrer
Sales Partner,Partenaire commercial
Sales Partner Commission Summary,Résumé de la commission partenaire
Sales Partner Item,Item partenaire de vente
Sales Partner Name,Nom du Partenaire de Vente
Sales Partner Target,Objectif du Partenaire Commercial
Sales Partner Target Variance Based On Item Group,Écart cible du partenaire commercial basé sur le groupe d'articles
Sales Partner Target Variance based on Item Group,Variance cible du partenaire commercial basée sur le groupe de postes
Sales Partner Transaction Summary,Récapitulatif des transactions du partenaire commercial
Sales Partner Type,Type de partenaire de vente
Sales Partner and Commission,Partenaire Commercial et Commission
Sales Partners Commission,Commission des Partenaires de Vente
Sales Payment Summary,Résumé du paiement des ventes
Sales Person,Vendeur
Sales Person <b>{0}</b> is disabled.,Le vendeur <b>{0}</b> est désactivé.
Sales Person Commission Summary,Récapitulatif de la commission des ventes
Sales Person Name,Nom du Vendeur
Sales Person Target Variance Based On Item Group,Écart cible du commercial basé sur le groupe de postes
Sales Person Targets,Objectifs des Commerciaux
Sales Person-wise Transaction Summary,Résumé des Transactions par Commerciaux
Sales Pipeline,Pipeline de Ventes
Sales Pipeline  nalytics,nalytiques du pipeline de ventes
Sales Price List,Liste de prix de vente
Sales Register,Registre des Ventes
Sales Return,Retour de Ventes
Sales Settings,Paramètres de vente
Sales Stage,Stade de vente
Sales Summary,Récapitulatif des ventes
Sales Tax Template,Modèle de la Taxe de Vente
Sales Taxes and Charges,Taxes et Frais de Vente
Sales Taxes and Charges Template,Modèle de Taxes et Frais de Vente
Sales Team,Équipe des Ventes
Sales Team Details,Détails de l'Équipe des Ventes
Sales Team1,Équipe des Ventes 1
Sales Update Frequency,Fréquence de mise à jour des ventes
Sales Update Frequency in Company and Project,Fréquence de mise à jour des ventes dans la société et le projet
Sales User,Chargé de Ventes
Sales Value,La valeur des ventes
Sales and Returns,Ventes et retours
Sales campaigns.,Campagnes de vente.
Sales orders are not available for production,ucune commande client n'est disponible pour la production
Sales person,Vendeur
"Sales"",""Purchase,  ccounting Defaults","Valeurs par défaut pour les ventes, les achats et la comptabilité"
Salutation,Salutations
Salvage Value Percentage,Pourcentage de valeur de récupération
Same Company is entered more than once,La même société a été entrée plus d'une fois
Same Item,Même article
Same item and warehouse combination already entered.,La même combinaison d'article et d'entrepôt a déjà été saisie.
Same item cannot be entered multiple times.,Le même article ne peut pas être entré plusieurs fois.
Same supplier has been entered multiple times,Le même fournisseur a été saisi plusieurs fois
Sample Collection,Collecte d'Échantillons
Sample Collection {0} has been created,La collection d'échantillons {0} a été créée
Sample Details,Détails de l'échantillon
Sample ID,ID de l'Échantillon
Sample Quantity,Quantité d'échantillon
Sample Quantity cannot be negative or 0,La quantité d'échantillon ne peut pas être négative ou 0
Sample Retention Warehouse,Entrepôt de stockage des échantillons
Sample Size,Taille de l'Échantillon
Sample UOM,Exemple d'UdM
Sample quantity {0} cannot be more than received quantity {1},La quantité d'échantillon {0} ne peut pas dépasser la quantité reçue {1}
Sanctioned,Sanctionné
Sanctioned  mount,Quantité Sanctionnée
Sanctioned  mount cannot be greater than Claim  mount in Row {0}.,Le Montant  pprouvé ne peut pas être supérieur au Montant Réclamé à la ligne {0}.
Sand,Le sable
Sand Composition (%),Composition de sable (%)
Sandbox,bac à sable
Sandbox  PI Key,Clé  PI Sandbox
Sandbox Mode,Mode bac à sable
Sandy Clay,rgile sableuse
Sandy Clay Loam,Limon argilo-sableux
Sandy Loam,Limon sableux
Saturday,Samedi
Save,Enregistrer
Save Item,Enregistrer l'élément
Save Quotations as Draft,Enregistrer les devis comme brouillon
Save as Draft,Enregistrer comme brouillon
Saved Items,rticles sauvegardés
Saving {0},Enregistrement {0}
Savings,Économies
Scale Max,Échelle max
Scale Maximum,Échelle maximale
Scale Min,Échelle min
Scale Minimum,Échelle minimale
Scan Barcode,Scan Code Barre
Scan Batch No,Scanner le n° de lot
Scan Mode,Mode de scan
Scan Serial No,Scanner le n° de série
Scan barcode for item {0},Scanner le code-barres pour l'article {0}
"Scan mode enabled"",""existing quantity will not be fetched.","Mode de scan activé, la quantité existante ne sera pas récupérée."
Scanned Cheque,Chèque Numérisé
Scanned Quantity,Quantité scannée
Schedule,Calendrier
Schedule  dmission,Calendrier d'admission
Schedule Course,Cours Calendrier
Schedule Date,Date du Calendrier
Schedule Details,Détails du programme
Schedule Discharge,Décharge horaire
Schedule Name,Nom du calendrier
Scheduled,Prévu
Scheduled Date,Date Prévue
Scheduled On,Planifié le
Scheduled Time,Heure prévue
Scheduled Time Logs,Journaux de temps planifiés
Scheduled Upto,Programmé jusqu'à
Scheduler Inactive,Planificateur inactif
Scheduler is Inactive. Can't trigger job now.,Le planificateur est inactif. Impossible de déclencher le travail maintenant.
Scheduler is Inactive. Can't trigger jobs now.,Le planificateur est inactif. Impossible de déclencher les travaux maintenant.
Scheduler is inactive. Cannot enqueue job.,Le planificateur est inactif. Impossible de mettre le travail en file d'attente.
Scheduler is inactive. Cannot import data.,Le planificateur est inactif. Impossible d'importer des données.
Scheduler is inactive. Cannot merge accounts.,Le planificateur est inactif. Impossible de fusionner les comptes.
Schedules,Horaires
"Schedules for {0} overlaps"",""do you want to proceed after skiping overlaped slots ?","Les plannings pour {0} se chevauchent, voulez-vous continuer sans prendre en compte les créneaux qui se chevauchent ?"
Scheduling,Planification
Scheduling Patient  dmission,Planification de l'admission des patients
Scheduling...,Planification...
School House,Maison de l'École
School/University,École/Université
Scientific Name,Nom scientifique
Scope,Portée
Score,Score
Score (0-5),Score (0-5)
Score Earned,Score Gagné
Score Obtained,Score obtenu
Score cannot be greater than Maximum Score,Score ne peut pas être supérieure à Score maximum
Score must be less than or equal to 5,Score doit être inférieur ou égal à 5
Score out of 100,Score sur 100
Scorecard  ctions,ctions de la Fiche d'Évaluation
Scorecard variables can be used,as well as:
Scorecards,Fiches d'Évaluation
Scores,Sources
Scoring Criteria,Critères de Notation
Scoring Setup,Paramétrage de la Notation
Scoring Standings,Classement des Fiches d'Évaluation
Scrap,Mettre au Rebut
Scrap  sset,Mettre l'actif au rebut
Scrap %,% de Rebut
Scrap & Process Loss,Rebut et perte de processus
Scrap Cost Per Qty,Coût de rebut par quantité
Scrap Item Code,Code d'article de rebut
Scrap Item Name,Nom de l'article de rebut
Scrap Items,Mettre au Rebut des  rticles
Scrap Material Cost,Coût de Mise au Rebut des Matériaux
Scrap Material Cost(Company Currency),Coût de Mise au Rebut des Matériaux (Devise Société)
Scrap Warehouse,Entrepôt de Rebut
Scrap date cannot be before purchase date,La date de mise au rebut ne peut être antérieure à la date d'achat
Scrapped,Mis au rebut
Search,Rechercher
Search  PIs,PI de recherche
Search Items ...,Rechercher des articles ...
Search Results,Résultats de la recherche
Search Sub  ssemblies,Rechercher les Sous-Ensembles
Search Term Param Name,Nom du paramètre de recherche
"Search by customer name"",""phone, email.","Recherche par nom de client, téléphone, e-mail."
Search by invoice id or customer name,Recherche par numéro de facture ou nom de client
"Search by item code"",""serial number or barcode","Rechercher par code d'article, numéro de série ou code-barres"
Search for Jobs,Rechercher des Jobs
Search for a payment,Rechercher un paiement
Search for anything ...,Rechercher n'importe quoi ...
Search or type a command (Ctrl + G),Rechercher ou taper une commande (Ctrl + G)
Search results for,Résultats de recherche pour
"Seasonality for setting budgets"",""targets etc.","Saisonnalité de l'établissement des budgets, des objectifs, etc."
Seating Capacity,Nombre de places
Second Email,Deuxième Email
Secondary Party,Partie secondaire
Secondary Role,Rôle secondaire
Secondary UOM,UdM secondaire
Secondary UOM Result,Résultat UdM secondaire
Secret,Secret
Secret Key,Clef Secrète
Secretary,secrétaire
Section Based On,Section basée sur
Section Cards,Cartes de section
Section Code,Code de section
Section Footer,Pied de section
Section HTML,Section HTML
Section Header,En-tête de section
Section Leader,Chef de section
Section Name,Nom de la section
Section Order,Commande de la section
Section Subtotal,Sous-total de la section
Secured Loans,Prêts garantis
Securities & Commodity Exchanges,Bourses de Valeurs Mobilières et de Marchandises
Securities and Deposits,Titres et Dépôts
Security Credential,Identifiant de sécurité
See  ll  rticles,Voir tous les articles
See List,Voir La Liste
See all notifications,Voir toutes les notifications
See all open tickets,Voir tous les tickets ouverts
See past orders,Voir les commandes passées
See past quotations,Voir les citations passées
Segregate Serial / Batch Bundle,Séparer les lots de série et les lots de fabrication
Select,Sélectionner
Select  ccounting Dimension.,Sélectionner la Dimension Comptable.
Select  lternate Item,Sélectionnez un autre élément
Select  lternative Items for Sales Order,Sélectionner les  rticles  lternatifs pour la Commande Client
Select  ssessment Parameter,Sélectionnez le paramètre d'évaluation
Select  ssessment Template,Sélectionnez un modèle d'évaluation
Select  ttribute Values,Sélectionner les valeurs d'attribut
Select BOM,Sélectionner une nomenclature
Select BOM and Qty for Production,Sélectionner la nomenclature et la Qté pour la Production
"Select BOM"",""Qty and For Warehouse","Sélectionner une nomenclature, une quantité et un entrepôt"
Select Batch,Sélectionnez le Lot
Select Batch No,Sélectionner le Lot
Select Batch Numbers,Sélectionnez les Numéros de Lot
Select Billing  ddress,Selectionner l'adresse de facturation
Select Brand...,Sélectionner une Marque ...
Select Columns and Filters,Sélectionner les Colonnes et Filtres
Select Company,Sélectionnez une société
Select Company...,Sélectionner la Société ...
Select Corrective Operation,Sélectionner l'Opération Corrective
Select Customer,Sélectionnez un client
Select Customers By,Sélectionner les clients par
Select Date of Birth. This will validate Employees age and prevent hiring of under-age staff.,Sélectionner la Date de Naissance. Cela validera l'âge des Employés et empêchera l'embauche de personnel mineur.
Select Date of joining. It will have impact on the first salary calculation,"Leave allocation on pro-rata bases."",Sélectionner la Date d'embauche. Cela aura un impact sur le calcul du premier salaire et l'allocation de congés au prorata."
Select Days,Choisissez des jours
Select Default Supplier,Sélectionner le Fournisseur par Défaut
Select Difference  ccount,Sélectionnez compte différentiel
Select Dimension,Sélectionner la Dimension
Select Dispatch  ddress,Sélectionner l'adresse d'expédition
Select DocType,Sélectionner le DocType
Select Employees,Sélectionner les Employés
Select Finished Good,Sélectionner le produit fini
Select Fiscal Year...,Sélectionner Exercice ...
Select Interview Round First,Sélectionnez la première manche d'entretien
Select Interview first,Sélectionnez d'abord l'entretien
Select Item (optional),Sélectionnez l' rticle (facultatif)
Select Items,Sélectionner des éléments
Select Items based on Delivery Date,Sélectionnez les articles en fonction de la Date de Livraison
Select Items for Quality Inspection,Sélectionner les  rticles pour Contrôle Qualité
Select Items to Manufacture,Sélectionner les articles à produire
Select Job Worker  ddress,Sélectionner l' dresse du Sous-traitant
Select Loyalty Program,Sélectionner un programme de fidélité
Select Maximum Of 1,Sélectionnez un maximum de 1
Select Patient,Sélectionnez le Patient
Select Payment  ccount to make Bank Entry,Sélectionner Compte de Crédit pour faire l'Écriture Bancaire
Select Payroll Frequency.,Sélectionnez la fréquence de la paie.
Select Payroll Period,Sélectionner la Période de Paie
Select Possible Supplier,Sélectionner le Fournisseur Possible
Select Property,Veuillez sélectionner la propriété
Select Quantity,Sélectionner Quantité
Select Serial No,Sélectionner le n° de série
Select Serial Numbers,Sélectionnez les numéros de série
Select Serial and Batch,Sélectionner le lot et le n° de série
Select Shipping  ddress,Sélectionner l' dresse de Livraison
Select Supplier  ddress,Sélectionner l' dresse du Fournisseur
Select Target Warehouse,Sélectionner l'Entrepôt Cible
Select Terms and Conditions,Sélectionner les Termes et Conditions
Select Therapy Type,Sélectionnez le type de thérapie
Select Time,Sélectionner l'heure
Select Users,Sélectionner les utilisateurs
Select View,Sélectionner la vue
Select Vouchers to Match,Sélectionner les bons à faire correspondre
Select Warehouse...,Sélectionner l'Entrepôt ...
